Location	Name	ID	Count	Slots
Fingers	Savvy Ascending Sun Ring	161140	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Seaglass Curio	165174	1	6
Fingers-Slot3	Pastletlith's Skill	165167	1	6
Fingers	Quick Ascending Sun Ring	161136	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Seaglass Curio	165174	1	6
Fingers-Slot3	Bella's Charming Diamond	163167	1	6
Chest	Heavenly Glorious Void Soulrender Breastplate	161035	1	6
Chest-Slot1	Seaglass Curio	165174	1	6
Chest-Slot2	Petrified Sharktooth	165169	1	6
Chest-Slot3	Extra Planar Potential Shard	148442	1	6
Chest-Slot4	Empty	0	0	0
Legs	Heavenly Glorious Void Soulrender Greaves	161034	1	6
Legs-Slot1	Seaglass Curio	165174	1	6
Legs-Slot2	Coronach of Sand	160382	1	6
Legs-Slot3	Extra Planar Potential Shard	148442	1	6
Legs-Slot4	Empty	0	0	0
Feet	Heavenly Glorious Void Soulrender Boots	161031	1	6
Feet-Slot1	Seaglass Curio	165174	1	6
Feet-Slot2	Calculating Differential Gear	160659	1	6
Feet-Slot3	Extra Planar Potential Shard	148442	1	6
Feet-Slot4	Empty	0	0	0
Waist	Athletic Ascending Sun Belt	161143	1	6
Waist-Slot1	Empty	0	0	0
Waist-Slot2	Seaglass Curio	165174	1	6
Waist-Slot3	Darkened Trakanon's Scale	146379	1	6
Power Source	Empty	0	0	0
Ammo	Empty	0	0	0
General 1	Satchel of the Fearslayer	55899	1	40
General 1-Slot1	Tome: Impertinent Influence	159125	1	6
General 1-Slot2	Scroll: Confluent Disruption	159123	1	6
General 1-Slot3	Scroll: Bloodletting Coalition	159124	1	6
General 1-Slot4	Wicked Steed	77449	1	6
General 1-Slot5	Empty	0	0	0
General 1-Slot6	Empty	0	0	0
General 1-Slot7	Empty	0	0	0
General 1-Slot8	Frosty Gem of Enhanced Protection	68107	1	6
General 1-Slot9	Empty	0	0	0
General 1-Slot10	Empty	0	0	0
General 1-Slot11	Empty	0	0	0
General 1-Slot12	Empty	0	0	0
General 1-Slot13	Empty	0	0	0
General 1-Slot14	Empty	0	0	0
General 1-Slot15	Empty	0	0	0
General 1-Slot16	Empty	0	0	0
General 1-Slot17	Empty	0	0	0
General 1-Slot18	Empty	0	0	0
General 1-Slot19	Empty	0	0	0
General 1-Slot20	Empty	0	0	0
General 1-Slot21	Empty	0	0	0
General 1-Slot22	Empty	0	0	0
General 1-Slot23	Empty	0	0	0
General 1-Slot24	Empty	0	0	0
General 1-Slot25	Empty	0	0	0
General 1-Slot26	Empty	0	0	0
General 1-Slot27	Empty	0	0	0
General 1-Slot28	Empty	0	0	0
General 1-Slot29	Empty	0	0	0
General 1-Slot30	Empty	0	0	0
General 1-Slot31	Empty	0	0	0
General 1-Slot32	Empty	0	0	0
General 1-Slot33	Empty	0	0	0
General 1-Slot34	Empty	0	0	0
General 1-Slot35	Empty	0	0	0
General 1-Slot36	Empty	0	0	0
General 1-Slot37	Empty	0	0	0
General 1-Slot38	Empty	0	0	0
General 1-Slot39	Empty	0	0	0
General 1-Slot40	Empty	0	0	0
General 2	Zelniak Hide Satchel	168036	1	40
General 2-Slot1	Empty	0	0	0
General 2-Slot2	Empty	0	0	0
General 2-Slot3	Empty	0	0	0
General 2-Slot4	Empty	0	0	0
General 2-Slot5	Empty	0	0	0
General 2-Slot6	Empty	0	0	0
General 2-Slot7	Empty	0	0	0
General 2-Slot8	Empty	0	0	0
General 2-Slot9	Empty	0	0	0
General 2-Slot10	Empty	0	0	0
General 2-Slot11	Empty	0	0	0
General 2-Slot12	Empty	0	0	0
General 2-Slot13	Empty	0	0	0
General 2-Slot14	Empty	0	0	0
General 2-Slot15	Empty	0	0	0
General 2-Slot16	Empty	0	0	0
General 2-Slot17	Empty	0	0	0
General 2-Slot18	Empty	0	0	0
General 2-Slot19	Empty	0	0	0
General 2-Slot20	Empty	0	0	0
General 2-Slot21	Empty	0	0	0
General 2-Slot22	Empty	0	0	0
General 2-Slot23	Empty	0	0	0
General 2-Slot24	Empty	0	0	0
General 2-Slot25	Empty	0	0	0
General 2-Slot26	Empty	0	0	0
General 2-Slot27	Empty	0	0	0
General 2-Slot28	Empty	0	0	0
General 2-Slot29	Empty	0	0	0
General 2-Slot30	Empty	0	0	0
General 2-Slot31	Empty	0	0	0
General 2-Slot32	Empty	0	0	0
General 2-Slot33	Empty	0	0	0
General 2-Slot34	Empty	0	0	0
General 2-Slot35	Empty	0	0	0
General 2-Slot36	Empty	0	0	0
General 2-Slot37	Empty	0	0	0
General 2-Slot38	Empty	0	0	0
General 2-Slot39	Empty	0	0	0
General 2-Slot40	Empty	0	0	0
General 3	Restless Bunker	164423	1	44
General 3-Slot1	Empty	0	0	0
General 3-Slot2	Empty	0	0	0
General 3-Slot3	Empty	0	0	0
General 3-Slot4	Empty	0	0	0
General 3-Slot5	Empty	0	0	0
General 3-Slot6	Empty	0	0	0
General 3-Slot7	Empty	0	0	0
General 3-Slot8	Empty	0	0	0
General 3-Slot9	Empty	0	0	0
General 3-Slot10	Empty	0	0	0
General 3-Slot11	Empty	0	0	0
General 3-Slot12	Empty	0	0	0
General 3-Slot13	Empty	0	0	0
General 3-Slot14	Empty	0	0	0
General 3-Slot15	Empty	0	0	0
General 3-Slot16	Empty	0	0	0
General 3-Slot17	Empty	0	0	0
General 3-Slot18	Empty	0	0	0
General 3-Slot19	Empty	0	0	0
General 3-Slot20	Empty	0	0	0
General 3-Slot21	Empty	0	0	0
General 3-Slot22	Empty	0	0	0
General 3-Slot23	Empty	0	0	0
General 3-Slot24	Empty	0	0	0
General 3-Slot25	Empty	0	0	0
General 3-Slot26	Empty	0	0	0
General 3-Slot27	Empty	0	0	0
General 3-Slot28	Empty	0	0	0
General 3-Slot29	Empty	0	0	0
General 3-Slot30	Empty	0	0	0
General 3-Slot31	Empty	0	0	0
General 3-Slot32	Empty	0	0	0
General 3-Slot33	Empty	0	0	0
General 3-Slot34	Empty	0	0	0
General 3-Slot35	Empty	0	0	0
General 3-Slot36	Empty	0	0	0
General 3-Slot37	Empty	0	0	0
General 3-Slot38	Empty	0	0	0
General 3-Slot39	Empty	0	0	0
General 3-Slot40	Empty	0	0	0
General 3-Slot41	Empty	0	0	0
General 3-Slot42	Empty	0	0	0
General 3-Slot43	Empty	0	0	0
General 3-Slot44	Empty	0	0	0
General 4	Hickory Battleworn Sack	161422	1	40
General 4-Slot1	Empty	0	0	0
General 4-Slot2	Empty	0	0	0
General 4-Slot3	Empty	0	0	0
General 4-Slot4	Empty	0	0	0
General 4-Slot5	Empty	0	0	0
General 4-Slot6	Empty	0	0	0
General 4-Slot7	Empty	0	0	0
General 4-Slot8	Empty	0	0	0
General 4-Slot9	Empty	0	0	0
General 4-Slot10	Empty	0	0	0
General 4-Slot11	Empty	0	0	0
General 4-Slot12	Empty	0	0	0
General 4-Slot13	Empty	0	0	0
General 4-Slot14	Empty	0	0	0
General 4-Slot15	Empty	0	0	0
General 4-Slot16	Empty	0	0	0
General 4-Slot17	Empty	0	0	0
General 4-Slot18	Empty	0	0	0
General 4-Slot19	Empty	0	0	0
General 4-Slot20	Empty	0	0	0
General 4-Slot21	Empty	0	0	0
General 4-Slot22	Empty	0	0	0
General 4-Slot23	Empty	0	0	0
General 4-Slot24	Empty	0	0	0
General 4-Slot25	Empty	0	0	0
General 4-Slot26	Empty	0	0	0
General 4-Slot27	Empty	0	0	0
General 4-Slot28	Empty	0	0	0
General 4-Slot29	Empty	0	0	0
General 4-Slot30	Empty	0	0	0
General 4-Slot31	Empty	0	0	0
General 4-Slot32	Empty	0	0	0
General 4-Slot33	Empty	0	0	0
General 4-Slot34	Empty	0	0	0
General 4-Slot35	Empty	0	0	0
General 4-Slot36	Empty	0	0	0
General 4-Slot37	Empty	0	0	0
General 4-Slot38	Empty	0	0	0
General 4-Slot39	Empty	0	0	0
General 4-Slot40	Empty	0	0	0
General 5	Scale-Plated Crate	164937	1	44
General 5-Slot1	Empty	0	0	0
General 5-Slot2	Empty	0	0	0
General 5-Slot3	Empty	0	0	0
General 5-Slot4	Empty	0	0	0
General 5-Slot5	Empty	0	0	0
General 5-Slot6	Empty	0	0	0
General 5-Slot7	Empty	0	0	0
General 5-Slot8	Empty	0	0	0
General 5-Slot9	Empty	0	0	0
General 5-Slot10	Empty	0	0	0
General 5-Slot11	Empty	0	0	0
General 5-Slot12	Empty	0	0	0
General 5-Slot13	Empty	0	0	0
General 5-Slot14	Empty	0	0	0
General 5-Slot15	Empty	0	0	0
General 5-Slot16	Empty	0	0	0
General 5-Slot17	Empty	0	0	0
General 5-Slot18	Empty	0	0	0
General 5-Slot19	Empty	0	0	0
General 5-Slot20	Empty	0	0	0
General 5-Slot21	Empty	0	0	0
General 5-Slot22	Empty	0	0	0
General 5-Slot23	Empty	0	0	0
General 5-Slot24	Empty	0	0	0
General 5-Slot25	Empty	0	0	0
General 5-Slot26	Empty	0	0	0
General 5-Slot27	Empty	0	0	0
General 5-Slot28	Empty	0	0	0
General 5-Slot29	Empty	0	0	0
General 5-Slot30	Empty	0	0	0
General 5-Slot31	Empty	0	0	0
General 5-Slot32	Empty	0	0	0
General 5-Slot33	Empty	0	0	0
General 5-Slot34	Empty	0	0	0
General 5-Slot35	Empty	0	0	0
General 5-Slot36	Empty	0	0	0
General 5-Slot37	Empty	0	0	0
General 5-Slot38	Empty	0	0	0
General 5-Slot39	Empty	0	0	0
General 5-Slot40	Empty	0	0	0
General 5-Slot41	Empty	0	0	0
General 5-Slot42	Empty	0	0	0
General 5-Slot43	Empty	0	0	0
General 5-Slot44	Empty	0	0	0
General 6	Restless Sporran	164424	1	40
General 6-Slot1	Empty	0	0	0
General 6-Slot2	Empty	0	0	0
General 6-Slot3	Empty	0	0	0
General 6-Slot4	Empty	0	0	0
General 6-Slot5	Empty	0	0	0
General 6-Slot6	Empty	0	0	0
General 6-Slot7	Empty	0	0	0
General 6-Slot8	Empty	0	0	0
General 6-Slot9	Empty	0	0	0
General 6-Slot10	Empty	0	0	0
General 6-Slot11	Empty	0	0	0
General 6-Slot12	Empty	0	0	0
General 6-Slot13	Empty	0	0	0
General 6-Slot14	Empty	0	0	0
General 6-Slot15	Empty	0	0	0
General 6-Slot16	Empty	0	0	0
General 6-Slot17	Empty	0	0	0
General 6-Slot18	Empty	0	0	0
General 6-Slot19	Empty	0	0	0
General 6-Slot20	Empty	0	0	0
General 6-Slot21	Empty	0	0	0
General 6-Slot22	Empty	0	0	0
General 6-Slot23	Empty	0	0	0
General 6-Slot24	Empty	0	0	0
General 6-Slot25	Empty	0	0	0
General 6-Slot26	Empty	0	0	0
General 6-Slot27	Empty	0	0	0
General 6-Slot28	Empty	0	0	0
General 6-Slot29	Empty	0	0	0
General 6-Slot30	Empty	0	0	0
General 6-Slot31	Empty	0	0	0
General 6-Slot32	Empty	0	0	0
General 6-Slot33	Empty	0	0	0
General 6-Slot34	Empty	0	0	0
General 6-Slot35	Empty	0	0	0
General 6-Slot36	Empty	0	0	0
General 6-Slot37	Empty	0	0	0
General 6-Slot38	Empty	0	0	0
General 6-Slot39	Empty	0	0	0
General 6-Slot40	Empty	0	0	0
General 7	Shrieker Cap Satchel	169970	1	42
General 7-Slot1	Empty	0	0	0
General 7-Slot2	Empty	0	0	0
General 7-Slot3	Empty	0	0	0
General 7-Slot4	Empty	0	0	0
General 7-Slot5	Empty	0	0	0
General 7-Slot6	Empty	0	0	0
General 7-Slot7	Empty	0	0	0
General 7-Slot8	Empty	0	0	0
General 7-Slot9	Empty	0	0	0
General 7-Slot10	Empty	0	0	0
General 7-Slot11	Empty	0	0	0
General 7-Slot12	Empty	0	0	0
General 7-Slot13	Empty	0	0	0
General 7-Slot14	Empty	0	0	0
General 7-Slot15	Empty	0	0	0
General 7-Slot16	Empty	0	0	0
General 7-Slot17	Empty	0	0	0
General 7-Slot18	Empty	0	0	0
General 7-Slot19	Empty	0	0	0
General 7-Slot20	Empty	0	0	0
General 7-Slot21	Empty	0	0	0
General 7-Slot22	Empty	0	0	0
General 7-Slot23	Empty	0	0	0
General 7-Slot24	Empty	0	0	0
General 7-Slot25	Empty	0	0	0
General 7-Slot26	Empty	0	0	0
General 7-Slot27	Empty	0	0	0
General 7-Slot28	Empty	0	0	0
General 7-Slot29	Empty	0	0	0
General 7-Slot30	Empty	0	0	0
General 7-Slot31	Empty	0	0	0
General 7-Slot32	Empty	0	0	0
General 7-Slot33	Empty	0	0	0
General 7-Slot34	Empty	0	0	0
General 7-Slot35	Empty	0	0	0
General 7-Slot36	Empty	0	0	0
General 7-Slot37	Empty	0	0	0
General 7-Slot38	Empty	0	0	0
General 7-Slot39	Empty	0	0	0
General 7-Slot40	Empty	0	0	0
General 7-Slot41	Empty	0	0	0
General 7-Slot42	Empty	0	0	0
General 8	Combine Empire Locker	151781	1	36
General 8-Slot1	Empty	0	0	0
General 8-Slot2	Empty	0	0	0
General 8-Slot3	Empty	0	0	0
General 8-Slot4	Empty	0	0	0
General 8-Slot5	Empty	0	0	0
General 8-Slot6	Empty	0	0	0
General 8-Slot7	Empty	0	0	0
General 8-Slot8	Empty	0	0	0
General 8-Slot9	Empty	0	0	0
General 8-Slot10	Empty	0	0	0
General 8-Slot11	Median Kromrif Etching	164398	1	6
General 8-Slot12	Median Kromrif Etching	164398	1	6
General 8-Slot13	Median Kromrif Etching	164398	1	6
General 8-Slot14	Median Kromrif Etching	164398	1	6
General 8-Slot15	Median Kromrif Etching	164398	1	6
General 8-Slot16	Greater Kromrif Etching	164399	1	6
General 8-Slot17	Greater Kromrif Etching	164399	1	6
General 8-Slot18	Greater Kromrif Etching	164399	1	6
General 8-Slot19	Greater Kromrif Etching	164399	1	6
General 8-Slot20	Greater Kromrif Etching	164399	1	6
General 8-Slot21	Glowing Kromrif Etching	164400	1	6
General 8-Slot22	Glowing Kromrif Etching	164400	1	6
General 8-Slot23	Glowing Kromrif Etching	164400	1	6
General 8-Slot24	Glowing Kromrif Etching	164400	1	6
General 8-Slot25	Glowing Kromrif Etching	164400	1	6
General 8-Slot26	Minor Dragontouched Rune	164236	1	6
General 8-Slot27	Glowing Dragontouched Rune	164240	1	6
General 8-Slot28	Glowing Dragontouched Rune	164240	1	6
General 8-Slot29	Glowing Dragontouched Rune	164240	1	6
General 8-Slot30	Glowing Dragontouched Rune	164240	1	6
General 8-Slot31	Greater Dragontouched Rune	164239	1	6
General 8-Slot32	Secret Dawn Bodkin Muhbis	161357	1	1
General 8-Slot32-Slot1	Empty	0	0	0
General 8-Slot33	Secret Dawn Rapier Muhbis	161347	1	1
General 8-Slot33-Slot1	Empty	0	0	0
General 8-Slot34	Empty	0	0	0
General 8-Slot35	Suit of Dark Elf Plate	113859	1	6
General 8-Slot36	Suit of Wither and Decay Leather	113938	1	6
General 9	Shik'Nar Carapace Crate	169971	1	46
General 9-Slot1	Innoruuk's Dark Blessing	48136	1	6
General 9-Slot1-Slot1	Empty	0	0	0
General 9-Slot1-Slot2	Empty	0	0	0
General 9-Slot1-Slot3	Empty	0	0	0
General 9-Slot2	Honed Wurmslayer	148825	1	6
General 9-Slot2-Slot1	Empty	0	0	0
General 9-Slot2-Slot2	Empty	0	0	0
General 9-Slot3	Abyssal Steed	77445	1	6
General 9-Slot4	Empty	0	0	0
General 9-Slot5	Empty	0	0	0
General 9-Slot6	Empty	0	0	0
General 9-Slot7	Empty	0	0	0
General 9-Slot8	Empty	0	0	0
General 9-Slot9	Empty	0	0	0
General 9-Slot10	Empty	0	0	0
General 9-Slot11	Empty	0	0	0
General 9-Slot12	Empty	0	0	0
General 9-Slot13	Empty	0	0	0
General 9-Slot14	Empty	0	0	0
General 9-Slot15	Empty	0	0	0
General 9-Slot16	Empty	0	0	0
General 9-Slot17	Empty	0	0	0
General 9-Slot18	Empty	0	0	0
General 9-Slot19	Empty	0	0	0
General 9-Slot20	Empty	0	0	0
General 9-Slot21	Empty	0	0	0
General 9-Slot22	Empty	0	0	0
General 9-Slot23	Empty	0	0	0
General 9-Slot24	Empty	0	0	0
General 9-Slot25	Empty	0	0	0
General 9-Slot26	Empty	0	0	0
General 9-Slot27	Empty	0	0	0
General 9-Slot28	Empty	0	0	0
General 9-Slot29	Empty	0	0	0
General 9-Slot30	Empty	0	0	0
General 9-Slot31	Empty	0	0	0
General 9-Slot32	Empty	0	0	0
General 9-Slot33	Empty	0	0	0
General 9-Slot34	Empty	0	0	0
General 9-Slot35	Empty	0	0	0
General 9-Slot36	Empty	0	0	0
General 9-Slot37	Empty	0	0	0
General 9-Slot38	Empty	0	0	0
General 9-Slot39	Empty	0	0	0
General 9-Slot40	Empty	0	0	0
General 9-Slot41	Empty	0	0	0
General 9-Slot42	Empty	0	0	0
General 9-Slot43	Empty	0	0	0
General 9-Slot44	Empty	0	0	0
General 9-Slot45	Empty	0	0	0
General 9-Slot46	Empty	0	0	0
General 10	Gorangan Blood-Stained Bag	168038	1	40
General 10-Slot1	Feral Guardian Channeler	86635	1	6
General 10-Slot1-Slot1	Empty	0	0	0
General 10-Slot2	Violet Conch of the Tempest	141172	1	6
General 10-Slot3	Bloodmetal Inlaid Gnollish Totem	86222	1	6
General 10-Slot4	Kijarl's Ring of Negation	86156	1	6
General 10-Slot4-Slot1	Empty	0	0	0
General 10-Slot4-Slot2	Empty	0	0	0
General 10-Slot5	Dragorn War Mask	60940	1	6
General 10-Slot6	Carillon Box of Lost Songs	133707	1	6
General 10-Slot7	Fabled Journeyman's Boots	68239	1	6
General 10-Slot7-Slot1	Empty	0	0	0
General 10-Slot7-Slot2	Empty	0	0	0
General 10-Slot8	Small Manisi Branch	148829	1	6
General 10-Slot8-Slot1	Empty	0	0	0
General 10-Slot8-Slot2	Empty	0	0	0
General 10-Slot8-Slot3	Empty	0	0	0
General 10-Slot9	Shield of Immaculate Light	99138	1	6
General 10-Slot9-Slot1	Empty	0	0	0
General 10-Slot9-Slot2	Empty	0	0	0
General 10-Slot9-Slot3	Empty	0	0	0
General 10-Slot10	Venenium	141740	1	6
General 10-Slot11	Bifold Focus of the Evil Eye	133708	1	6
General 10-Slot12	Silken Trillium	94661	1	6
General 10-Slot13	Rune of Tallon	86163	1	6
General 10-Slot14	Overflowing Urn of Life	141175	1	6
General 10-Slot15	Veil of Flames	28971	1	6
General 10-Slot15-Slot1	Empty	0	0	0
General 10-Slot16	Reusable Steambomb	101363	1	6
General 10-Slot17	Beast Fur Shawl	129218	1	6
General 10-Slot17-Slot1	Empty	0	0	0
General 10-Slot17-Slot2	Empty	0	0	0
General 10-Slot18	Eye of the Beast	129228	1	6
General 10-Slot18-Slot1	Empty	0	0	0
General 10-Slot18-Slot2	Empty	0	0	0
General 10-Slot19	Rage of Rolfron	86155	1	6
General 10-Slot19-Slot1	Empty	0	0	0
General 10-Slot19-Slot2	Empty	0	0	0
General 10-Slot20	Necromantic Dragon Bone	93998	1	6
General 10-Slot21	Visage of the Kobold Serf	40684	1	6
General 10-Slot22	Rocketeer Boots	81300	1	6
General 10-Slot23	Blood Drinker's Coating	94662	1	6
General 10-Slot24	Wand of Everlasting Water	26764	1	6
General 10-Slot24-Slot1	Empty	0	0	0
General 10-Slot25	Orb of Satisfaction	26758	1	6
General 10-Slot25-Slot1	Empty	0	0	0
General 10-Slot25-Slot2	Empty	0	0	0
General 10-Slot26	The Binden Concerrentia	28296	1	6
General 10-Slot26-Slot1	Empty	0	0	0
General 10-Slot27	Zueria Slide: North Ro	146385	1	6
General 10-Slot27-Slot1	Empty	0	0	0
General 10-Slot27-Slot2	Empty	0	0	0
General 10-Slot27-Slot3	Empty	0	0	0
General 10-Slot28	Drunkard's Stein	93995	1	6
General 10-Slot29	Primary Anchor Transport Device	57851	1	6
General 10-Slot30	Familiar of the Emerald Jungle	79697	1	6
General 10-Slot31	Unified Phoenix Feather	165188	1	6
General 10-Slot32	Ring of the Ancients	67098	1	6
General 10-Slot32-Slot1	Empty	0	0	0
General 10-Slot32-Slot2	Empty	0	0	0
General 10-Slot32-Slot3	Empty	0	0	0
General 10-Slot33	Diplomatic Papers	85962	1	6
General 10-Slot34	Ognit's Mini Dirigible Device	61061	1	6
General 10-Slot35	Worker Sledgemallet	12863	1	6
General 10-Slot35-Slot1	Empty	0	0	0
General 10-Slot35-Slot2	Empty	0	0	0
General 10-Slot36	Circlet of Shadow	14730	1	6
General 10-Slot36-Slot1	Empty	0	0	0
General 10-Slot36-Slot2	Empty	0	0	0
General 10-Slot37	Chestplate of the Dark Flame	81759	1	6
General 10-Slot37-Slot1	Empty	0	0	0
General 10-Slot37-Slot2	Empty	0	0	0
General 10-Slot37-Slot3	Empty	0	0	0
General 10-Slot38	Duskbringer's Plate Chestguard of the Hateful	70886	1	6
General 10-Slot38-Slot1	Empty	0	0	0
General 10-Slot38-Slot2	Empty	0	0	0
General 10-Slot39	Holgresh Elder Beads	24890	1	6
General 10-Slot39-Slot1	Empty	0	0	0
General 10-Slot40	Form of Crystalline Heads	54912	1	6
General 11	Empty	0	0	0
General 12	Empty	0	0	0
Held	Empty	0	0	0
Bank1	Scuffed Journeyman's Pocketed Rucksack	54448	1	32
Bank1-Slot1	Dread Touched Boots	72227	1	6
Bank1-Slot2	Dread Touched Leggings	72230	1	6
Bank1-Slot3	Dread Touched Bracer	72225	1	6
Bank1-Slot4	Dread Touched Bracer	72225	1	6
Bank1-Slot5	Dread Touched Armguards	72229	1	6
Bank1-Slot6	Dread Touched Helm	72228	1	6
Bank1-Slot7	Dread Touched Gloves	72226	1	6
Bank1-Slot8	Dread Touched Tunic	72231	1	6
Bank1-Slot9	Raw Deathseeker's Boots	147666	1	6
Bank1-Slot10	Raw Deathseeker's Leggings	147669	1	6
Bank1-Slot11	Raw Deathseeker's Wristguard	147664	1	6
Bank1-Slot12	Raw Deathseeker's Wristguard	147664	1	6
Bank1-Slot13	Raw Deathseeker's Armwraps	147668	1	6
Bank1-Slot14	Raw Deathseeker's Helmet	147667	1	6
Bank1-Slot15	Raw Deathseeker's Tunic	147670	1	6
Bank1-Slot16	Raw Deathseeker's Gloves	147665	1	6
Bank1-Slot17	Amorphous Velazul's Wristguard	148865	1	6
Bank1-Slot18	Amorphous Velazul's Wristguard	148865	1	6
Bank1-Slot19	Amorphous Velazul's Gauntlets	148866	1	6
Bank1-Slot20	Amorphous Velazul's Sleeves	148869	1	6
Bank1-Slot21	Amorphous Velazul's Boots	148867	1	6
Bank1-Slot22	Amorphous Velazul's Helm	148868	1	6
Bank1-Slot23	Amorphous Velazul's Leggings	148870	1	6
Bank1-Slot24	Amorphous Velazul's Breastplate	148871	1	6
Bank1-Slot25	Spiritually Faded Luclinite Stone of Harmony	159819	1	2
Bank1-Slot25-Slot1	Empty	0	0	0
Bank1-Slot25-Slot2	Empty	0	0	0
Bank1-Slot26	Spiritually Faded Luclinite Stone of Intensity	159820	1	2
Bank1-Slot26-Slot1	Empty	0	0	0
Bank1-Slot26-Slot2	Empty	0	0	0
Bank1-Slot27	Spiritually Faded Luclinite Stone of Savviness	159825	1	2
Bank1-Slot27-Slot1	Empty	0	0	0
Bank1-Slot27-Slot2	Empty	0	0	0
Bank1-Slot28	Spiritually Faded Luclinite Stone of Celerity	159822	1	2
Bank1-Slot28-Slot1	Empty	0	0	0
Bank1-Slot28-Slot2	Empty	0	0	0
Bank1-Slot29	Empty	0	0	0
Bank1-Slot30	Empty	0	0	0
Bank1-Slot31	Empty	0	0	0
Bank1-Slot32	Empty	0	0	0
Bank2	Scuffed Traveler's Rucksack	54446	1	24
Bank2-Slot1	Faded Ascending Spirit Hands Armor	168102	1	2
Bank2-Slot1-Slot1	Empty	0	0	0
Bank2-Slot1-Slot2	Empty	0	0	0
Bank2-Slot2	Faded Ascending Spirit Legs Armor	168106	1	2
Bank2-Slot2-Slot1	Empty	0	0	0
Bank2-Slot2-Slot2	Empty	0	0	0
Bank2-Slot3	Faded Ascending Spirit Feet Armor	168103	1	2
Bank2-Slot3-Slot1	Empty	0	0	0
Bank2-Slot3-Slot2	Empty	0	0	0
Bank2-Slot4	Faded Ascending Spirit Head Armor	168104	1	2
Bank2-Slot4-Slot1	Empty	0	0	0
Bank2-Slot4-Slot2	Empty	0	0	0
Bank2-Slot5	Faded Ascending Spirit Arms Armor	168105	1	2
Bank2-Slot5-Slot1	Empty	0	0	0
Bank2-Slot5-Slot2	Empty	0	0	0
Bank2-Slot6	Faded Ascending Spirit Chest Armor	168107	1	2
Bank2-Slot6-Slot1	Empty	0	0	0
